Date,FII Gross Purchase,FII Gross Sales,FII Net Purchase or Sales,DII Gross Purchase,DII Gross Sales,DII Net Purchase or Sales
2017-10-01,95431.19,119401.16,-23969.97,79160.50,58134.97,21025.53
2017-09-01,95588.51,111584.14,-15995.63,70219.04,54013.82,16205.22
2017-08-01,104497.69,103032.84,1464.85,67911.76,63125.39,4786.37
2017-07-01,99619.25,103670.68,-4051.43,60330.87,53654.76,6676.11
2017-06-01,123004.66,123457.20,-452.54,69117.29,64840.23,4277.06
2017-05-01,81594.59,88222.15,-6627.56,60188.82,50941.39,9247.43
2017-04-01,153101.24,126628.07,26473.17,65535.41,69931.02,-4395.61
2017-03-01,107722.25,99017.79,8704.46,61116.21,60180.95,935.26
2017-02-01,76909.72,78811.04,-1901.32,50855.74,46351.80,4503.94
2017-01-01,74545.48,85870.76,-11325.28,42473.11,33337.02,9136.09
2016-12-01,110863.20,130845.57,-19982.37,66379.78,48102.75,18277.03
2016-11-01,72661.20,78431.39,-5770.19,45294.51,37388.16,7906.35
2016-10-01,101165.89,97836.27,3329.62,51440.20,49440.98,1999.22
2016-09-01,110195.16,101416.89,8778.27,45174.03,49580.34,-4406.31
2016-08-01,91989.79,81867.10,10122.69,38640.08,44694.68,-6054.60
2016-07-01,89373.04,85415.09,3957.95,35927.95,38101.50,-2173.55
2016-06-01,97116.20,97077.81,38.39,38877.32,32119.24,6758.08
2016-05-01,69963.65,67027.37,2936.28,24467.25,27021.61,-2554.36
2016-04-01,108002.95,83801.44,24201.51,31576.15,48468.05,-16891.90
2016-03-01,74262.92,86776.04,-12513.12,40129.01,29637.40,10491.61
2016-02-01,71491.92,85847.93,-14356.01,43075.94,30201.04,12874.90
2016-01-01,69530.14,71890.16,-2360.02,37088.08,30760.44,6327.64
2015-12-01,75013.31,84043.12,-9029.81,33828.14,25328.16,8499.98
2015-11-01,77250.13,74223.47,3026.66,32159.62,33678.48,-1518.86
2015-10-01,81805.27,93084.59,-11279.32,39091.63,28818.57,10273.06
2015-09-01,95879.11,115651.18,-19772.07,48145.48,31707.95,16437.53
2015-08-01,87724.15,85426.10,2298.05,35163.76,35091.45,72.31
2015-07-01,88687.39,96880.31,-8192.92,41851.78,29825.23,12026.55
2015-06-01,115328.54,120124.79,-4796.25,42361.08,33778.82,8582.26
2015-05-01,112729.67,104865.31,7864.36,42708.08,31196.62,11511.46
2015-04-01,113231.70,106651.03,6580.67,41189.93,40995.17,194.76
2015-03-01,98624.75,91878.55,6746.20,38472.96,36761.08,1711.88
2015-02-01,97928.91,89388.15,8540.76,33785.16,40316.91,-6531.75
2015-01-01,76004.51,79941.33,-3936.82,37301.10,31345.31,5955.79
2014-12-01,92237.70,81292.11,10945.59,28664.95,35936.29,-7271.34
2014-11-01,68678.08,70360.95,-1682.87,30691.34,26588.47,4102.87
2014-10-01,91063.57,89560.48,1503.09,35881.96,37018.95,-1136.99
2014-09-01,70685.63,68004.16,2681.47,29609.80,27274.32,2335.48
2014-08-01,92008.38,85043.80,6964.58,34725.88,37942.41,-3216.53
2014-07-01,94458.30,87126.39,7331.91,30264.82,34677.50,-4412.68
2014-06-01,109809.08,98006.27,11802.81,35633.49,39769.53,-4136.04
2014-05-01,69601.75,63318.58,6283.17,22694.70,29553.74,-6859.04
2014-04-01,88941.73,63565.28,25376.45,28561.88,41692.65,-13130.77
2014-03-01,51761.74,50341.84,1419.90,20369.86,19702.17,667.69
2014-02-01,65566.26,66832.14,-1265.88,25688.41,27143.88,-1455.47
2014-01-01,61150.68,47684.69,13465.99,20367.10,27953.16,-7586.06
2013-12-01,52448.11,45491.74,6956.37,15067.67,24214.84,-9147.17
2013-11-01,60286.13,42730.57,17555.56,17529.64,29940.35,-12410.71
2013-10-01,68120.40,56944.35,11176.05,19922.39,29052.46,-9130.07
2013-09-01,70692.60,78163.07,-7470.47,31033.50,24748.78,6284.72
2013-08-01,61815.09,62229.57,-414.48,28396.17,29937.02,-1540.85
2013-07-01,54317.73,65743.14,-11425.41,28336.69,19909.27,8427.42
2013-06-01,70499.57,56033.67,14465.90,19423.80,31476.23,-12052.43
2013-05-01,55439.86,50798.29,4641.57,17292.29,20290.56,-2998.27
2013-04-01,65561.74,56138.67,9423.07,19101.35,26973.80,-7872.45
2013-03-01,67980.27,58447.24,9533.03,19148.86,27967.36,-8818.50
2013-02-01,74013.68,54815.80,19197.88,23690.75,39898.07,-16207.32
2013-01-01,58290.81,43924.32,14366.49,19385.77,28288.88,-8903.11
2012-12-01,43328.18,37036.67,6291.51,12145.65,16347.07,-4201.42
2012-11-01,52306.07,43863.14,8442.93,19653.76,24348.87,-4695.11
2012-10-01,68789.70,47981.89,20807.81,23131.13,32283.33,-9152.20
2012-09-01,45533.62,37786.51,7747.11,19133.72,23542.35,-4408.63
2012-08-01,47179.02,41276.07,5902.95,19252.18,24522.85,-5270.67
2012-07-01,40956.28,38161.60,2794.68,19437.49,18334.74,1102.75
2012-06-01,46301.71,49057.97,-2756.26,20906.69,20199.47,707.22
2012-05-01,37723.69,39387.05,-1663.36,19033.07,18250.06,783.01
2012-04-01,63999.11,57472.38,6526.73,21594.97,25085.70,-3490.73
2012-03-01,76648.78,53412.40,23236.38,24653.67,36195.05,-11541.38
2012-02-01,52903.37,43434.23,9469.14,20327.33,27057.15,-6729.82
2012-01-01,38711.73,41098.87,-2387.14,18900.48,17972.47,928.01
2011-12-01,43094.11,49602.82,-6508.71,25235.59,19274.85,5960.74
2011-11-01,44233.02,42390.55,1842.47,19216.41,21333.05,-2116.64
2011-10-01,50283.64,53372.51,-3088.87,21240.18,19493.09,1747.09
2011-09-01,45395.78,56954.98,-11559.20,28430.65,20439.54,7991.11
2011-08-01,50802.29,46520.79,4281.50,25153.30,25123.23,30.07
2011-07-01,53473.22,50810.46,2662.76,21175.88,21275.54,-99.66
2011-06-01,53777.46,57482.83,-3705.37,25090.68,20997.47,4093.21
2011-05-01,49090.25,49085.85,4.40,19996.44,20554.71,-558.27
2011-04-01,52192.02,44215.13,7976.89,23972.23,24010.16,-37.93
2011-03-01,57097.91,64311.30,-7213.39,27598.55,21567.65,6030.90
2011-02-01,57526.07,66429.67,-8903.60,29176.33,23939.19,5237.14
2011-01-01,52683.49,53405.68,-722.19,24798.87,24163.88,634.99
2010-12-01,79726.26,74375.39,5350.87,32674.49,30205.67,2468.82
2010-11-01,77706.10,63318.04,14388.06,28069.00,39881.90,-11812.90
2010-10-01,74920.16,52444.52,22475.64,24046.54,35913.17,-11866.63
2010-09-01,56120.24,48582.94,7537.30,24770.34,29323.02,-4552.68
2010-08-01,52571.21,44030.15,8541.06,24776.03,31047.95,-6271.92
2010-07-01,51878.01,44164.06,7713.95,23549.21,28326.26,-4777.05
2010-06-01,49588.04,61659.16,-12071.12,29971.71,23610.52,6361.19
2010-05-01,55061.05,52393.68,2667.37,26283.22,24092.56,2190.66
2010-04-01,59692.57,44900.24,14792.33,25818.47,30954.32,-5135.85
2010-03-01,39001.43,40944.90,-1943.47,21547.80,20235.85,1311.95
2010-02-01,56109.18,63325.85,-7216.67,39004.29,26782.26,12222.03
2010-01-01,45029.99,40789.13,4240.86,26326.09,26276.42,49.67
2009-12-01,48761.93,47053.86,1708.07,28355.29,25964.25,2391.04
2009-11-01,63964.86,63964.73,0.13,30578.81,30626.32,-47.51
2009-10-01,62872.65,49541.22,13331.43,27261.52,26565.48,696.04
2009-09-01,45722.53,49489.56,-3767.03,28621.60,23636.89,4984.71
2009-08-01,58990.29,60354.89,-1364.60,34970.99,29152.01,5818.98
2009-07-01,61767.47,61852.61,-85.14,35173.50,32539.72,2633.78
2009-06-01,73016.96,59130.87,13886.09,27344.70,27427.15,-82.45
2009-05-01,38871.53,33311.43,5560.10,17871.64,18653.97,-782.33
2009-04-01,31646.90,32330.47,-683.57,19256.22,15304.69,3951.53
2009-03-01,22066.26,24899.69,-2833.43,13438.92,10664.36,2774.56
2009-02-01,28447.81,33620.63,-5172.82,18644.12,14925.98,3718.14
2009-01-01,29362.68,28327.87,1034.81,16472.77,14566.49,1906.28
2008-12-01,28093.92,33552.88,-5458.96,15196.15,12322.00,2874.15
2008-11-01,48413.60,64067.10,-15653.50,26254.38,15458.08,10796.30
2008-10-01,65932.27,78435.01,-12502.74,25415.62,16202.66,9212.96
2008-09-01,44460.52,49916.64,-5456.12,17813.52,14841.14,2972.38
2008-08-01,62050.69,66654.69,-4604.00,23217.26,21690.07,1527.19
2008-07-01,60693.06,73360.22,-12667.16,23754.33,15126.36,8627.97
2008-06-01,58982.92,65678.51,-6695.59,26254.47,17976.44,8278.03
2008-05-01,59546.97,62083.85,-2536.88,21678.24,18277.26,3400.98
2008-04-01,68472.59,72236.39,-3763.80,23606.43,20658.92,2947.51
2008-03-01,64267.47,68318.59,-4051.12,24064.99,20056.65,4008.34
2008-02-01,97579.50,127027.01,-29447.51,44638.58,28223.89,16414.69
2008-01-01,71453.70,78273.50,-6819.80,29495.28,24543.14,4952.14
2007-12-01,83268.52,96957.78,-13689.26,31937.20,23383.79,8553.41
2007-11-01,122384.57,114368.33,8016.24,34703.35,36055.53,-1352.18
2007-10-01,67664.52,51306.56,16357.96,21424.73,26188.40,-4763.67
2007-09-01,52479.43,64817.90,-12338.47,26496.41,17347.14,9149.27
2007-08-01,69757.41,61888.56,7868.85,23643.81,24231.23,-587.42
2007-07-01,45673.87,47035.12,-1361.25,19374.66,14814.40,4560.26
2007-06-01,46316.28,46436.25,-119.97,21959.33,18974.43,2984.90
2007-05-01,43647.59,41913.05,1734.54,10137.73,9280.07,857.66
